method,event_id,set_idx,target,camera_id,raw_samples,accepted_samples,accepted_ratio,signed_median_mm,abs_median_mm,signed_rmse_mm,abs_p95_mm,centroid_base_m
A5,24,4,board,3,568,568,1.0,-7.212000266971722,7.212000266971722,7.260834707171385,8.672940044329343,"[-0.2889472663113912, 0.4953997892962187, -0.023708208373210495]"
A5,24,4,cube,3,320,320,1.0,4.560780732564938,4.609925822834224,4.388248055360191,6.137557391376404,"[-0.23675953384055143, 0.6525366881849463, 0.010966847912369262]"
A5,54,9,board,0,754,754,1.0,-5.609723026013274,5.609723026013274,6.066621737924817,9.489832417511677,"[-0.285050608339222, 0.46374717628673495, -0.022143729512939313]"
A5,54,9,cube,0,150,150,1.0,-1.2032058252992197,5.436584290245115,5.8434240766788665,10.11296948303677,"[-0.4089740777492452, 0.3583218607612606, 0.007958601016203708]"
A5,54,9,board,1,467,467,1.0,5.619228993016924,5.619228993016924,5.688148355934628,6.87852032431744,"[-0.285504031091804, 0.41184480846311217, -0.02209684232854848]"
A5,54,9,cube,1,382,382,1.0,7.38064409874656,7.38064409874656,7.246558830152306,8.584211906237798,"[-0.43513234849803145, 0.34488569141138986, 0.011483538166666807]"
A5,54,9,board,2,1193,1193,1.0,-10.66332219854739,10.66332219854739,12.358746211503107,19.440767786621993,"[-0.2743289273848458, 0.4524116808701024, -0.005002372968891063]"
A5,54,9,cube,2,198,198,1.0,5.624064053011824,8.001526741306675,8.405722862578168,12.231933597689897,"[-0.3947757908228398, 0.35309740870845724, 0.02716670313586555]"
A5,54,9,board,3,606,606,1.0,-6.981589877289666,6.981589877289666,7.015373934629217,8.548131934900688,"[-0.28472780429529454, 0.4994151306481238, -0.023459654228064702]"
A5,54,9,cube,3,295,295,1.0,-7.77103113701629,8.482478354452471,8.734173581263875,11.811621715781842,"[-0.4257300670108428, 0.3651092036133928, 0.006305359168976313]"
A5,72,12,board,0,678,678,1.0,-5.945587459614584,5.945587459614584,6.315208826871625,9.319350526357884,"[-0.28029235413120057, 0.46383173262937166, -0.02244983556200025]"
A5,72,12,cube,0,270,270,1.0,-0.25689875904853665,1.7283033172833728,2.085657960702527,3.671599469396181,"[-0.2271174095219349, 0.2822139591379202, 0.01455377010880692]"
A5,72,12,board,1,602,602,1.0,-5.585458892547721,5.585458892547721,5.582040568411602,7.0181986970174215,"[-0.2852479006372093, 0.42956037143694314, -0.021962479526793487]"
A5,72,12,cube,1,397,397,1.0,9.588096623810413,9.588096623810413,9.000010948361451,11.071743030352735,"[-0.2491758921793865, 0.26468983521356526, 0.00980919961051675]"
A5,72,12,board,2,1187,1187,1.0,-12.885151415025158,12.885151415025158,15.148611026271439,24.889789347638555,"[-0.27620320278118676, 0.45287371747353283, -0.0023478816987131737]"
A5,72,12,cube,2,245,245,1.0,2.842228446097405,4.204095545340521,6.600273893511506,11.426530831835365,"[-0.22043387377253948, 0.27395544948502065, 0.03249415002275556]"
A5,72,12,board,3,529,529,1.0,-6.888776681839191,6.888776681839191,6.989428164902688,8.618375039742926,"[-0.2791381559034991, 0.5043616060353202, -0.023439794245517582]"
A5,72,12,cube,3,173,173,1.0,-12.51081743185339,12.51081743185339,12.713824472087262,15.667465354272256,"[-0.2446834261779406, 0.27929969583194897, 0.0064715753841912685]"
B1,24,4,board,0,546,546,1.0,6.511651448227331,6.511651448227331,7.006830962273598,10.542443753286582,"[-0.2751862466937433, 0.4847374862791058, -0.02281115943998533]"
B1,24,4,cube,0,273,273,1.0,9.274202956904732,9.274202956904732,9.220481439384098,11.15848238258819,"[-0.2190669049719542, 0.6362554420391123, 0.005629026252010285]"
B1,24,4,board,1,451,451,1.0,-7.571473544173178,7.571473544173178,7.56960379532005,8.9767947767515,"[-0.28529506996406945, 0.4096164484840284, -0.02346800273013812]"
B1,24,4,cube,1,156,156,1.0,12.85662412724527,12.85662412724527,12.311792590033493,15.10890473599209,"[-0.22785409281794963, 0.6355929823897, 0.005492407501100083]"
B1,24,4,board,2,1196,1196,1.0,2.860470780645831,2.8938109020088962,5.772653655022712,11.42378967940129,"[-0.26789930009801655, 0.44818126399424574, -0.012418032972097199]"
B1,24,4,cube,2,201,201,1.0,-9.399126289862396,9.428818506752183,9.71552770838469,14.098670901106408,"[-0.2038012156159629, 0.614402472229123, 0.022479958096258038]"
B1,24,4,board,3,568,568,1.0,8.7746110721618,8.7746110721618,8.784579029715486,10.29421849630084,"[-0.28763788242313953, 0.49332195394313033, -0.024885766687963398]"
B1,24,4,cube,3,320,320,1.0,-8.584321441517403,8.584321441517403,7.882969020556269,10.420728651200129,"[-0.23477296348824456, 0.6507178625133694, 0.007514113752840464]"
B1,54,9,board,0,754,754,1.0,6.478559561997082,6.478559561997082,6.953918057612608,10.579982346295669,"[-0.2865759909353174, 0.4643722188918256, -0.02266122810236882]"
B1,54,9,cube,0,150,150,1.0,2.6382384789428515,9.128304290860246,9.201661102103996,13.660529516034336,"[-0.4115366797354587, 0.3604025228283599, 0.008206267465191248]"
B1,54,9,board,1,467,467,1.0,-7.695194009294818,7.695194009294818,7.677728934683728,8.967687353123972,"[-0.28366289435103004, 0.4166164894726591, -0.02361509135709147]"
B1,54,9,cube,1,382,382,1.0,8.976671013085252,9.28398315484382,9.490907888959876,11.231424836055272,"[-0.4336069114466041, 0.35087283655843843, 0.010944458974259398]"
B1,54,9,board,2,1193,1193,1.0,-9.898897941083112,9.898897941083112,11.657619838095306,18.715876843174524,"[-0.27401197179459247, 0.45295748769694044, -0.005367545336652105]"
B1,54,9,cube,2,198,198,1.0,4.343394625925464,5.797421486231485,6.414064785281273,8.608275935213188,"[-0.39484052240365075, 0.3542774857978099, 0.02731791943568388]"
B1,54,9,board,3,606,606,1.0,-8.476951756579012,8.476951756579012,8.559709733772404,10.179478407748674,"[-0.28339907863740904, 0.49731958757229777, -0.02468558458659363]"
B1,54,9,cube,3,295,295,1.0,-8.649551566564126,10.797256345122905,10.982524040134777,13.63698002773003,"[-0.4251731092198995, 0.3641986466713622, 0.006692998812499736]"
